SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
148,SEZ,ABIA,UKWA WEST,OGWE,OGWE,OGWE PHC,,,,,,,
149,SEZ,ABIA,UKWA WEST,OZAA UKWU,OZAA UKWU,UMUADIENWE PHC,,,,,,,
150,SEZ,ABIA,UKWA WEST,OZAA WEST,OZAA WEST,UMUORIE PHC,,,,,,,
151,SEZ,ABIA,UMUAHIA NORTH,AFUGIRI,AFUGIRI,UMUEGWU OKPUALA,,,,,,,
152,SEZ,ABIA,UMUAHIA NORTH,IBEKU EAST I ,IBEKU EAST I,NKATA HC,,,,,,,
153,SEZ,ABIA,UMUAHIA NORTH,IBEKU EAST II ,IBEKU EAST II,AMATO UMUODUDU PHC,,,,,,,
154,SEZ,ABIA,UMUAHIA NORTH,IBEKU WEST,IBEKU WEST,AJATA,,,,,,,
155,SEZ,ABIA,UMUAHIA NORTH,ISINGWU,ISINGWU,UMUDA PHC,,,,,,,
156,SEZ,ABIA,UMUAHIA NORTH,NDUME ,NDUME,UMUANA NDUME,,,,,,,
157,SEZ,ABIA,UMUAHIA NORTH,NKWOACHARA,NKWOACHARA,UMUAWA ALAOCHA,,,,,,,
158,SEZ,ABIA,UMUAHIA NORTH,NKWOEGWU ,NKWOEGWU,NKWOEGWU PHC,,,,,,,
159,SEZ,ABIA,UMUAHIA NORTH,UMUAHIA URBAN I,UMUAHIA URBAN I,ISIAMA AFARA,,,,,,,
160,SEZ,ABIA,UMUAHIA NORTH,UMUAHIA URBAN II,UMUAHIA URBAN II,AMUZUKWU,,,,,,,
161,SEZ,ABIA,UMUAHIA NORTH,UMUAHIA URBAN III,UMUAHIA URBAN III,WORLD BANK PHC,,,,,,,
162,SEZ,ABIA,UMUAHIA NORTH,UMUHU,UMUHU,AMAOGWUGWU,,,,,,,
163,SEZ,ABIA,UMUAHIA SOUTH,AHIAUKWU 1,AHIAUKWU I,AMIZI PHC,,,,,,,
164,SEZ,ABIA,UMUAHIA SOUTH,AHIAUKWU 11,AHIAUKWU II,UMUOPARAOZARA PHC,,,,,,,
